site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_max,zcr_mean,zcr_min
s2lam112_200710,59.42404797,2.184970437,0.119586947,0.276887909,0.720877757,1.543477869,2.657272651,0.946722189,0.981956246,0.970952591,0.003074086,0.422939564,0.472433907,0.053170922,0.510248766,0.347204465,0.067516447
s2lam112_210328,59.61662206,2.175065674,0.13033364,0.330249043,0.711700127,1.627380566,1.820164571,0.957637303,0.982354555,0.973593982,0.002711883,1.030727537,0.391377757,0.06645226,0.751528177,0.427285141,0.089067403
s2lam112_210413,56.99768523,2.271458719,0.033509374,0.540025292,0.593373493,2.01751182,1.007492916,0.976550251,0.989107361,0.983860568,0.001901717,0.231107462,0.455883771,0.122628835,0.614264838,0.482511578,0.203265513
s2lam112_210507,75.85767571,2.014777132,0.322953603,0.139830868,0.754765651,1.128141111,5.210068413,0.898018385,0.95463261,0.958671032,0.005114526,0.427691166,0.493161569,0.026986853,0.703627642,0.314732486,0.032255285
s2lam112_210521,59.32860947,2.219755368,0.115905671,0.606429807,0.448922329,1.815435509,4.053361528,0.956655851,0.982070615,0.973395805,0.00267549,0.760949161,0.374222342,0.054213011,0.681949013,0.399984622,0.095266242
s2lam112_210606,60.82936721,1.760464968,0.384446925,-0.067703439,0.866791631,0.90343042,2.763272987,0.894591536,0.976414992,0.950434931,0.005169659,0.328108609,0.361822237,0.029658129,0.6140437,0.239481347,0.020460812
s2lam112_210616,57.50929333,2.25377914,0.05939529,0.388384019,0.71908294,1.675469663,1.286265093,0.971366259,0.987865966,0.981713633,0.002175912,0.161366273,0.505297745,0.069830117,0.706552734,0.454698168,0.120175781
s2lam112_210627,63.52596482,2.211537166,0.123232576,0.576710145,0.484598063,1.939438868,4.019200368,0.956533926,0.977649389,0.974304646,0.002760049,0.952012851,0.428816185,0.041253537,0.644608858,0.414355358,0.117394454
s2lam113_200708,59.02336779,2.266798034,0.062213246,0.293924705,0.739803738,1.535060306,1.71817397,0.962274488,0.983996399,0.977188815,0.002712239,1.51312021,0.356154938,0.053550846,0.702895862,0.444492611,0.09258249
s2lam113_210410,64.90936082,2.22684297,0.128044332,0.074929868,0.73675795,1.116977338,4.207242369,0.928554554,0.973108154,0.965415318,0.003717567,1.156490468,0.448641018,0.041390473,0.570086762,0.36170357,0.093406486
s2lam113_210426,65.51486781,2.106365414,0.228851113,0.38127097,0.59880075,1.463962146,4.957370246,0.912056792,0.976670339,0.960311015,0.005013211,0.447034363,0.43869492,0.038879447,0.574575773,0.267148467,0.048712618
